File Name,Emotion,Chroma Standard Deviation,Croma Mean,MEL Standard Deviation,MEL Mean,Spectral Centroid Feature,MFCC Standard Deviation,MFCC Mean,MFCC 1st Derivative,MFCC 2nd Derivative,Root Mean Square Mean,Spectral Rolloff Mean,Spectral Rolloff Range,Zero Crossing Rate
03a01Fa.wav,happy,0.251560241,0.611640632,10.34572697,1.482626319,1851.787049,95.58628845,-14.09129906,0.045822375,-0.102561966,0.064488791,327.9874476,2691.650391,327.9874476
03a01Nc.wav,neutral,0.235453337,0.638079762,23.35484695,3.512082815,1386.832519,96.25347137,-9.005164146,-0.040386733,-0.095998339,0.099006377,277.4707031,2777.783203,277.4707031
03a01Wa.wav,angry,0.244517714,0.609957695,23.89982986,3.042638063,2138.843511,83.99127197,-17.5778656,0.127688706,-0.089569949,0.101291046,481.9715712,2670.117188,481.9715712
03a02Fc.wav,happy,0.284806341,0.528645158,33.87230682,3.438236713,2073.10201,84.64411163,-17.8247757,-0.116097957,-0.096451208,0.098398425,306.5387594,2002.587891,306.5387594
03a02Nc.wav,neutral,0.224480569,0.658213675,39.34206772,5.511982441,1481.499672,91.63986969,-8.317815781,-0.101314478,-0.093934916,0.126056552,169.3603516,1668.823242,169.3603516
03a02Ta.wav,sad,0.214511037,0.682143986,25.30947876,3.46677804,1763.328828,88.94076538,-5.834144115,-0.05545231,-0.12329495,0.099107027,317.6865234,3811.376953,317.6865234
03a02Wb.wav,angry,0.246384472,0.616384685,19.8889389,2.14086175,2418.244833,83.23536682,-17.13920784,-0.072656557,-0.052602291,0.083768323,449.2715587,3466.845703,449.2715587
03a02Wc.wav,angry,0.250654757,0.601218522,15.54215622,1.894412994,2140.453258,90.92433167,-21.88749123,-0.133233607,-0.244112715,0.077292621,390.2478966,3391.479492,390.2478966
03a04Ad.wav,fearful,0.248581961,0.585939288,25.68358421,3.015347958,2306.418411,76.72171783,-15.40833473,-0.002115839,-0.127467141,0.097736321,417.9097806,2723.950195,417.9097806
03a04Fd.wav,happy,0.257104695,0.61550492,29.72936058,3.066356897,1867.954296,93.83255005,-17.54470444,0.01686275,-0.100898057,0.08148212,364.1730231,1894.921875,364.1730231
03a04Lc.wav,boredom,0.227847338,0.628494143,42.47397995,3.360531092,1464.785289,88.26432037,-8.798173904,-0.024100754,-0.135952145,0.090439357,184.0576172,1776.489258,184.0576172
03a04Nc.wav,neutral,0.228849009,0.638079643,28.5798111,3.96739006,1526.831408,88.56103516,-8.650801659,-0.10338027,-0.190510228,0.107322723,237.4985639,2691.650391,237.4985639
03a04Ta.wav,sad,0.206487209,0.673575819,21.38183212,3.421462059,1427.366832,87.25579071,-3.774220705,0.083058782,0.038882591,0.101580836,164.7652958,1970.288086,164.7652958
03a04Wc.wav,angry,0.267954528,0.573900461,33.25636673,3.435460091,2249.361427,85.32763672,-22.05976295,-0.031268034,-0.183243513,0.0953722,591.6791937,2939.282227,591.6791937
03a05Aa.wav,fearful,0.266195059,0.571359277,22.64327431,2.706027985,2203.591539,76.10046387,-14.93699265,0.017958954,-0.06225045,0.097913466,456.7305715,2917.749023,456.7305715
03a05Fc.wav,happy,0.26966387,0.571339786,27.28234673,3.023390055,2055.991548,82.45031738,-13.11168957,-0.026587475,-0.056830186,0.09862332,421.6918945,3036.181641,421.6918945
03a05Nd.wav,neutral,0.234483525,0.635300815,31.77160263,4.003133297,1768.765062,84.31916809,-8.639685631,0.053587209,-0.080374822,0.111317351,320.1688669,2917.749023,320.1688669
03a05Tc.wav,sad,0.206526056,0.694548845,23.04473114,3.376409292,1680.061316,86.42639923,-4.720018387,0.015815884,-0.002395574,0.105224714,272.2310249,2713.183594,272.2310249
03a05Wa.wav,angry,0.246540904,0.604419529,26.47229004,1.935362935,2287.604637,82.17796326,-17.27376366,0.049363326,-0.048621453,0.074309237,499.2379208,2648.583984,499.2379208
03a05Wb.wav,angry,0.271739691,0.56843096,22.30320168,2.939478159,2175.874961,84.15839386,-20.50093842,-0.030560007,-0.043903001,0.096076727,517.0492172,2648.583984,517.0492172
03a07Fa.wav,happy,0.278667331,0.551104546,33.48020554,3.999464273,2173.663137,78.60766602,-13.18849087,0.004052636,-0.14194721,0.120955169,480.986222,3692.944336,480.986222
03a07Fb.wav,happy,0.286985189,0.497141123,31.3066864,3.424472094,2267.7932,78.36598969,-16.94324112,0.055958819,-0.099681154,0.11310254,452.7051242,2390.185547,452.7051242
03a07La.wav,boredom,0.249739021,0.586436331,36.92509842,5.073908806,1648.543341,83.33887482,-4.556025028,-0.029827574,-0.116118729,0.13186191,407.3709341,3509.912109,407.3709341
03a07Nc.wav,neutral,0.240748122,0.620658934,43.97946548,6.671773434,1537.669827,84.28305817,-6.233647346,0.051473245,-0.142049253,0.150043592,298.5661433,2659.350586,298.5661433
03a07Wc.wav,angry,0.264378279,0.571688533,21.49788666,2.705580711,2356.86329,79.88263702,-20.64727974,0.024412524,-0.080294371,0.095359996,487.3681641,2573.217773,487.3681641
03b01Fa.wav,happy,0.274399608,0.554044902,60.34560394,5.978527069,2035.766021,75.76502228,-11.60445786,-0.061617006,-0.086549893,0.142144173,427.0751953,3003.881836,427.0751953
03b01Lb.wav,boredom,0.232120588,0.628585279,29.77267838,3.202914953,1652.464175,84.06922913,-7.986504555,0.067378506,-0.048462756,0.096521661,311.5368259,2713.183594,311.5368259
03b01Nb.wav,neutral,0.239049852,0.621393144,24.04062843,3.356119871,1626.817021,89.33649445,-7.977144718,-0.166779533,-0.132049143,0.105004385,364.2874412,3671.411133,364.2874412
03b01Td.wav,sad,0.221127987,0.683263183,15.57509041,1.959401488,1582.424659,98.38021851,-9.444465637,0.016959181,-0.035786778,0.074385464,264.4042969,3520.678711,264.4042969
03b01Wa.wav,angry,0.243673354,0.595444024,19.99086571,2.172219038,2188.950489,83.13235474,-15.93552494,0.12545903,-0.221465796,0.085153766,441.8888173,2357.885742,441.8888173
03b01Wc.wav,angry,0.255355805,0.584071577,20.24131966,1.861755013,2190.800235,86.55682373,-16.05239868,0.015515427,-0.09049774,0.080442213,487.8881259,3262.280273,487.8881259
